player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Jordan Bell,GSW,0.406364807,-0.697050643,-0.290685837,-0.042541101,-2.206329054,-2.248870155
Jordan Bell,GSW,-3.047364506,1.142794629,-1.904569877,-2.512940336,0.139444484,-2.373495852
DeAndre' Bembry,ATL,-3.059592004,0.539160574,-2.52043143,-2.583355836,0.605894158,-1.977461677
Dragan Bender,PHO,-4.181632064,-2.007447424,-6.189079488,-4.326546341,-1.878977228,-6.205523569
Davis Bertans,SAS,-1.008938117,-1.515552588,-2.524490705,-1.339075355,-2.469239917,-3.808315272
Davis Bertans,SAS,1.312941707,1.309772421,2.622714127,1.988265291,0.644357104,2.632622395
Dairis Bertans,NOP,-5.347416385,-5.327659,-10.67507539,-4.934067852,-5.509982831,-10.44405068
Patrick Beverley,LAC,0.730704992,4.593092651,5.323797643,0.237080077,6.124756667,6.361836743
Patrick Beverley,LAC,0.553789583,0.993489583,1.547279166,0.658631014,1.670259444,2.328890458
Khem Birch,ORL,-1.896764081,1.988216624,0.091452543,-2.1952199,2.329571991,0.134352091
Khem Birch,ORL,0.283549969,3.717486921,4.00103689,-0.390104667,2.192523074,1.802418407
Bismack Biyombo,CHA,-3.312341907,-1.527734465,-4.840076372,-3.433957673,-1.941505523,-5.375463196
Nemanja Bjelica,SAC,0.622524622,1.326871326,1.949395948,0.923401496,0.988696431,1.912097927
Antonio Blakeney,CHI,-3.674307737,-4.368782941,-8.043090678,-3.451717236,-5.196974336,-8.648691572
Eric Bledsoe,MIL,0.831511598,2.319874897,3.151386495,1.919078585,2.699418846,4.618497431
Eric Bledsoe,MIL,3.148722794,2.654239213,5.802962006,3.194151134,2.304647485,5.49879862
Jaron Blossomgame,CLE,-2.184054742,-0.28281346,-2.466868202,-1.633646899,-1.741398672,-3.375045571
Bogdan Bogdanovic,SAC,2.159103035,-0.261058286,1.898044749,1.494484554,-0.109787958,1.384696597
Bojan Bogdanovic,IND,0.086883233,-3.050401817,-2.963518584,1.795368732,-2.792294873,-0.996926141
Bojan Bogdanovic,IND,0.670177676,-0.564455149,0.105722528,0.487538405,-0.466133656,0.021404749
Andrew Bogut,GSW,-0.342380277,1.202197905,0.859817628,-1.778973052,3.105843727,1.326870675
Andrew Bogut,GSW,-5.128999821,2.390669186,-2.738330634,-5.095763019,1.22713246,-3.868630559
Jonah Bolden,PHI,-6.390693358,-5.300296024,-11.69098938,-5.493738504,-5.852479112,-11.34621762
Jonah Bolden,PHI,-1.947039273,0.324927789,-1.622111483,-2.049269614,-0.296801612,-2.346071226
Isaac Bonga,LAL,-6.939471577,4.396983076,-2.542488502,-5.237186223,3.862148685,-1.375037538
Devin Booker,PHO,3.290666922,-2.644805557,0.645861365,3.075762574,-2.860810965,0.214951609
Chris Boucher,TOR,-4.854819044,-9.454119689,-14.30893873,2.366753004,-12.82699413,-10.46024112
Chris Boucher,TOR,0.613127189,-2.760034652,-2.146907463,1.585492541,-1.665432866,-0.079940326
Avery Bradley,MEM,0.808144099,1.417285446,2.225429545,-0.748472636,0.837595575,0.089122939
Avery Bradley,LAC,-3.517670174,0.619880804,-2.897789371,-3.618477433,0.566748864,-3.051728569
Tony Bradley,UTA,1.781411253,-1.815948754,-0.034537501,-1.101701719,-1.640267267,-2.741968986
Corey Brewer,SAC,-0.576236745,1.593132843,1.016896097,-1.658708137,1.480667246,-0.178040891
Corey Brewer,PHI,-2.9776841,6.598047044,3.620362945,-2.832024299,6.024807761,3.192783462
Mikal Bridges,PHO,-1.095409324,1.060347378,-0.035061947,-1.275155664,1.615939441,0.340783776
Miles Bridges,CHA,-1.583805246,-0.533562186,-2.117367433,-1.224676491,-1.066441654,-2.291118145
Isaiah Briscoe,ORL,-3.858415285,-0.438017458,-4.296432744,-3.94515393,0.370295337,-3.574858593
Ryan Broekhoff,DAL,-0.310812813,-1.272695305,-1.583508118,-0.262820617,-1.739482326,-2.002302943
Malcolm Brogdon,MIL,2.574144531,2.625979291,5.200123821,5.595773752,2.677612102,8.273385854
Malcolm Brogdon,MIL,2.399967462,0.853380954,3.253348416,2.148575859,0.93682257,3.085398428
Dillon Brooks,MEM,-3.619632526,-1.612572797,-5.232205322,-3.589391119,-0.863104267,-4.452495386
MarShon Brooks,MEM,-1.64009037,-1.477585781,-3.117676151,-1.955962426,-1.774653048,-3.730615474
Bruce Brown,DET,-3.951084204,2.050911406,-1.900172799,-1.599348488,-0.244933169,-1.844281658
Bruce Brown,DET,-2.845873195,2.332129491,-0.513743705,-3.303250404,1.853150254,-1.450100151
Jaylen Brown,BOS,-0.613746844,-0.976017349,-1.589764193,-0.408083636,-1.595622094,-2.00370573
Jaylen Brown,BOS,-1.288957106,0.513227339,-0.775729768,-1.219563921,1.072418987,-0.147144934
Lorenzo Brown,TOR,-3.301166947,0.140901962,-3.160264985,-4.129235694,-0.029443102,-4.158678795
Sterling Brown,MIL,-1.319790903,-0.137547145,-1.457338049,-0.775900768,-0.301402297,-1.077303065
Sterling Brown,MIL,-1.420553261,-1.046923694,-2.467476955,-1.815686259,-1.266686809,-3.082373068
Troy Brown Jr.,WAS,-1.905490852,-2.26713436,-4.172625212,-1.767314047,-2.775581202,-4.542895249
Jalen Brunson,DAL,0.086482845,-0.50053039,-0.414047545,-0.532250522,-0.391575419,-0.923825941
Thomas Bryant,WAS,0.174717189,-1.614665276,-1.439948087,-0.145101733,-1.711140103,-1.856241836
Reggie Bullock,LAL,-1.970126828,-0.720004132,-2.69013096,-1.704206085,-0.89978753,-2.603993615
Reggie Bullock,DET,-0.813574286,-1.082451277,-1.896025563,-1.15501345,-1.23195389,-2.386967341
Trey Burke,DAL,2.110213976,-2.580890918,-0.470676942,2.085271773,-1.745232755,0.340039017
Trey Burke,NYK,1.889291735,1.094934106,2.984225841,0.812318626,-0.406626778,0.405691848
