player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Tim Frazier,MIL,6.802963791,-2.656041531,4.14692226,3.862575759,-4.707766125,-0.845190366
Tim Frazier,NOP,0.41315269,-1.599059376,-1.185906686,-0.340481432,-1.588340583,-1.928822015
Tim Frazier,MIL,-1.712494909,-5.009896982,-6.722391891,-2.164504356,-4.771213903,-6.935718259
Jimmer Fredette,PHO,-10.08984735,-6.201917186,-16.29176453,-8.126087521,-5.862649502,-13.98873702
Channing Frye,CLE,-2.858176663,-7.499611033,-10.3577877,-2.669284515,-7.190238303,-9.859522818
Markelle Fultz,PHI,-2.422602728,-0.70167473,-3.124277459,-2.197696538,-0.205392438,-2.403088976
Danilo Gallinari,LAC,0.410966691,-2.111857135,-1.700890444,0.625286703,0.897321034,1.522607737
Danilo Gallinari,LAC,4.583700622,0.702600184,5.286300806,4.375342313,0.286088339,4.661430652
Langston Galloway,DET,-1.708903439,-1.600439444,-3.309342883,-0.499610034,0.470309852,-0.029300182
Langston Galloway,DET,0.149928203,-0.993717268,-0.843789065,-0.240688789,-0.982781615,-1.223470404
Billy Garrett,NYK,-5.942361267,-6.536359578,-12.47872084,-5.77547972,-7.200915124,-12.97639484
Marc Gasol,TOR,-0.066404761,3.522973924,3.456569162,0.174126574,3.800044019,3.974170592
Marc Gasol,TOR,-0.748400047,6.409114408,5.660714362,-0.176769381,4.870576925,4.693807543
Marc Gasol,MEM,-1.390416102,3.174227172,1.783811069,-1.196322806,3.208562606,2.0122398
Pau Gasol,SAS,-1.126754472,0.81885943,-0.307895043,-1.892965232,-0.439441001,-2.332406233
Pau Gasol,MIL,-9.519776406,-9.65165803,-19.17143444,-8.376224885,-7.76907453,-16.14529941
Rudy Gay,SAS,0.353207371,-0.628766355,-0.275558984,-0.926953966,-2.19643159,-3.123385556
Rudy Gay,SAS,1.249436397,1.058048879,2.307485276,0.857667162,0.810828231,1.668495393
Paul George,OKC,3.800619418,7.447409933,11.24802935,1.109721399,10.18313863,11.29286003
Paul George,OKC,5.184674118,3.054472314,8.239146432,5.347246901,4.519896578,9.867143479
Taj Gibson,MIN,0.307553801,-1.774671467,-1.467117666,0.091056546,-0.968001339,-0.876944793
Harry Giles III,SAC,-3.50658454,-0.759122985,-4.265707525,-2.962242092,-0.806108554,-3.768350646
Shai Gilgeous-Alexander,LAC,2.667058283,-3.648147392,-0.98108911,-0.253299979,-2.171303371,-2.424603351
Shai Gilgeous-Alexander,LAC,-0.895861617,0.996027962,0.100166346,-1.29460056,0.637642816,-0.656957744
Rudy Gobert,UTA,-0.791792664,1.116520363,0.324727699,-4.053416701,-0.122583526,-4.176000227
Rudy Gobert,UTA,0.732205521,5.546787161,6.278992682,1.100518448,5.645028062,6.745546511
Brandon Goodwin,DEN,-2.287285556,-5.273941882,-7.561227438,-1.888436581,-4.420324755,-6.308761336
Aaron Gordon,ORL,0.987520982,-4.490610503,-3.503089521,1.711893982,-4.683186681,-2.971292699
Aaron Gordon,ORL,0.297214696,0.648631988,0.945846683,-0.285438375,0.552131427,0.266693051
Eric Gordon,HOU,-0.098507335,-2.039184095,-2.13769143,2.3612361,-2.98540598,-0.624169879
Eric Gordon,HOU,0.0854324,-2.475274231,-2.389841832,1.484911248,-1.915440492,-0.430529244
Marcin Gortat,LAC,-3.727505854,1.61309066,-2.114415194,-3.469787795,0.147312106,-3.322475689
Devonte' Graham,CHA,-0.269743861,-0.899073573,-1.168817433,-0.450239823,-1.814794878,-2.265034701
Treveon Graham,BRK,-5.703173769,1.311724695,-4.391449074,-2.59872875,-1.204684967,-3.803413717
Treveon Graham,BRK,-2.442183772,1.936727228,-0.505456544,-1.237526398,1.351248187,0.113721788
Donte Grantham,OKC,-31.46727883,-9.948291573,-41.4155704,-16.02561999,-8.803380101,-24.8290001
Jerami Grant,OKC,0.204381978,5.57810065,5.782482628,-1.790010049,2.13065305,0.340643001
Jerami Grant,OKC,-0.422569907,1.127130347,0.70456044,-0.608131759,1.799795416,1.191663657
Jerian Grant,ORL,-8.205790805,11.41253247,3.20674167,-2.142152621,7.808524344,5.666371723
Jerian Grant,ORL,-2.682837769,-1.449991993,-4.132829762,-2.953851575,-0.949094075,-3.90294565
Danny Green,TOR,-0.521731834,0.938560261,0.416828427,1.005560988,2.174947053,3.180508041
Danny Green,TOR,1.824136151,1.347973686,3.172109837,2.986231536,2.438995611,5.425227147
Draymond Green,GSW,2.104882287,3.39441046,5.499292747,2.685775381,5.453564606,8.139339987
Draymond Green,GSW,-0.79598462,3.356904891,2.560920271,0.226622778,3.33793576,3.564558539
Gerald Green,HOU,-1.262261372,-0.742331673,-2.004593045,0.478812288,-1.246107122,-0.767294834
Gerald Green,HOU,-0.030028193,-2.333491109,-2.363519303,1.195903646,-2.1060311,-0.910127454
JaMychal Green,LAC,0.169048053,-8.336302031,-8.167253978,2.038104529,-6.632380925,-4.594276396
JaMychal Green,MEM,-1.514291305,-0.529505143,-2.043796448,-2.020235694,-0.409866014,-2.430101708
JaMychal Green,LAC,0.02306679,-1.244319244,-1.221252454,-0.59678915,-1.418037772,-2.014826923
Jeff Green,WAS,0.008639624,-0.629400266,-0.620760642,-0.222858528,-1.165613793,-1.388472321
Blake Griffin,DET,9.909855815,-0.271562905,9.63829291,12.5702009,-0.257084576,12.31311632
Blake Griffin,DET,4.292451315,0.623436821,4.915888136,3.694872962,-0.286132702,3.40874026
Daniel Hamilton,ATL,-1.56526457,-0.000217912,-1.565482482,-1.994759224,-1.230716879,-3.225476103
Dusty Hannahs,MEM,-10.55338853,-0.913639127,-11.46702766,-10.80890497,-2.501519507,-13.31042447
Tim Hardaway Jr.,NYK,1.696609585,-0.481017121,1.215592464,1.720735478,-0.892935471,0.827800007
Tim Hardaway Jr.,DAL,-0.206341497,0.279768605,0.073427108,0.383286397,-0.246337451,0.136948946
James Harden,HOU,6.903464255,2.325552429,9.229016684,11.08266513,3.011379871,14.094045
James Harden,HOU,10.41368889,1.713256399,12.12694529,10.86494476,1.477619863,12.34256462
Maurice Harkless,POR,1.012249406,0.770045972,1.782295378,-0.067876812,1.280997627,1.213120815
Maurice Harkless,POR,-0.541234547,1.217533256,0.676298709,-0.439156197,1.925732412,1.486576215
Montrezl Harrell,LAC,3.262068641,-1.633548292,1.628520349,-0.35453984,-4.053018427,-4.407558267
Montrezl Harrell,LAC,0.711216225,1.411682142,2.122898367,0.327174854,1.112917424,1.440092278
Andrew Harrison,NOP,3.061645995,-6.415265617,-3.353619622,4.906817595,-6.822702527,-1.915884932
Andrew Harrison,MEM,-6.343228155,-12.66577247,-19.00900063,-9.850644197,-11.95625288,-21.80689707
Andrew Harrison,CLE,-4.184897013,-2.081307599,-6.266204613,-3.895470381,-0.027007217,-3.922477597
Devin Harris,DAL,0.259261074,-1.160788029,-0.901526955,-0.520565982,-1.21056558,-1.731131562
Gary Harris,DEN,0.583571661,-0.153262604,0.430309057,-1.764217013,1.251126173,-0.51309084
Gary Harris,DEN,-0.434155381,-0.284381797,-0.718537178,-0.558058316,0.237019726,-0.32103859
Joe Harris,BRK,-3.94176557,-2.272606442,-6.214372011,-5.83206239,-5.278321225,-11.11038361
Joe Harris,BRK,0.579998746,0.217934583,0.797933329,0.831153228,-0.568725507,0.26242772
Shaquille Harrison,CHI,-0.685269516,2.248228243,1.562958727,-2.398087113,1.548235184,-0.849851929
Tobias Harris,PHI,1.624973783,-0.57736365,1.047610134,1.874676264,-1.194924883,0.679751381
Tobias Harris,LAC,1.660105067,-0.989392531,0.670712536,0.828984307,-0.614263003,0.214721304
Tobias Harris,PHI,-0.182252495,0.296154169,0.113901674,0.079085569,-0.084673491,-0.005587922
Isaiah Hartenstein,HOU,19.02696224,-6.498582303,12.52837994,10.13548652,-9.169197783,0.966288732
Isaiah Hartenstein,HOU,-3.247881741,0.364035736,-2.883846004,-2.885081925,1.150015611,-1.735066314
Josh Hart,LAL,-2.008180027,2.514749666,0.506569639,-2.5024849,3.053707971,0.551223072
Udonis Haslem,MIA,-9.417467851,5.83799005,-3.5794778,-8.548531907,2.559338275,-5.989193632
Gordon Hayward,BOS,-1.246559665,-0.061172103,-1.307731768,-0.580672149,-1.923902514,-2.504574664
Gordon Hayward,BOS,0.972467238,0.046229385,1.018696623,0.884848671,-0.164003059,0.720845612
John Henson,MIL,-1.952741806,4.056312809,2.103571003,-0.986282853,1.984760036,0.998477183
Juancho Hernangomez,DEN,-10.20629507,-6.384021099,-16.59031617,-8.358880227,-5.894064903,-14.25294513
Juancho Hernangomez,DEN,-1.283915829,0.85460541,-0.42931042,-1.335119783,0.244055446,-1.091064337
Willy Hernangomez,CHA,-0.006438951,-3.576471333,-3.582910284,-0.027415743,-3.803305811,-3.830721554
Mario Hezonja,NYK,-2.281994864,0.179145932,-2.102848933,-1.934299983,-0.444108105,-2.378408088
Isaiah Hicks,NYK,-1.573509975,1.050368759,-0.523141216,-1.876528324,1.604594593,-0.271933731
Buddy Hield,SAC,2.471423969,-0.687846033,1.783577936,2.321566396,-0.540974892,1.780591504
Haywood Highsmith,PHI,-5.059265807,-6.128811168,-11.18807697,-4.673500886,-7.510477634,-12.18397852
Nene,HOU,6.710275133,4.137862671,10.8481378,6.535056037,2.751377092,9.286433129
Nene,HOU,-2.377755636,2.729301261,0.351545625,-1.37635694,2.400255621,1.023898681
George Hill,MIL,4.650614577,0.331499943,4.982114521,5.624005905,0.861104389,6.485110294
George Hill,CLE,-0.074231551,-3.115541392,-3.189772942,0.189951129,-1.701643352,-1.511692223
George Hill,MIL,-0.306016355,1.978125811,1.672109456,-0.580198965,2.040907305,1.46070834
Solomon Hill,NOP,-3.000915304,0.221932477,-2.778982827,-2.575503146,-0.980491141,-3.555994287
Aaron Holiday,IND,-8.435165795,-7.556292203,-15.991458,-6.913032328,-1.95440484,-8.867437168
Aaron Holiday,IND,-0.629418322,2.032320507,1.402902185,-0.71786584,1.357450594,0.639584754
Jrue Holiday,NOP,3.530818091,0.699909246,4.230727337,4.078266456,1.376999379,5.455265835
Justin Holiday,MEM,-2.840247463,0.822542567,-2.017704896,-2.840521362,0.481452491,-2.359068871
Justin Holiday,CHI,-0.618789691,2.351694479,1.732904788,-1.63213434,2.311270895,0.679136555
John Holland,CLE,-3.14793377,2.582398147,-0.565535623,-10.63450998,5.053319052,-5.581190927
Rondae Hollis-Jefferson,BRK,1.983631068,6.215146994,8.198778062,0.128479988,2.185116507,2.313596495
Rondae Hollis-Jefferson,BRK,-2.688724803,2.670576811,-0.018147992,-2.619069198,2.013040087,-0.606029111
Richaun Holmes,PHO,-1.420745207,-0.041592332,-1.462337539,-1.611254749,0.079515997,-1.531738752
Rodney Hood,POR,2.686135952,-0.124655033,2.56148092,0.529706498,-1.193848348,-0.66414185
Rodney Hood,POR,-0.025869652,0.429278539,0.403408888,-0.357074263,-0.344056981,-0.701131244
Rodney Hood,CLE,0.899353886,-1.525867818,-0.626513932,-0.199174719,-1.243666814,-1.442841533
Al Horford,BOS,1.314856987,7.076604757,8.391461744,3.285034191,5.691813316,8.976847507
Al Horford,BOS,0.799330515,1.767326237,2.566656752,1.725227606,1.685759245,3.410986851
Danuel House Jr.,HOU,-1.868367646,-3.103345347,-4.971712993,-0.040764593,-2.306828123,-2.347592717
Danuel House Jr.,HOU,0.17304384,-0.593768329,-0.420724489,0.87931376,-0.413660788,0.465652972
Dwight Howard,WAS,-1.630512065,-4.215879872,-5.846391937,-1.384301097,-3.703129657,-5.087430754
Kevin Huerter,ATL,-0.473850013,-2.699389927,-3.17323994,0.250710732,-1.918033159,-1.667322427
Isaac Humphries,ATL,-4.39048602,-4.710909598,-9.101395618,-2.531161581,-5.462700931,-7.993862512
RJ Hunter,BOS,4.483176137,2.403141516,6.886317652,6.873883461,4.218799188,11.09268265
Chandler Hutchison,CHI,-3.130302877,0.821905102,-2.308397776,-3.687142433,-0.315606758,-4.002749192
Serge Ibaka,TOR,-1.932740959,2.959215889,1.026474931,-0.332276559,3.762145187,3.429868628
Serge Ibaka,TOR,-1.518161632,1.63068953,0.112527898,-0.739929836,1.032628608,0.292698772
Andre Iguodala,GSW,0.379921708,0.827195667,1.207117374,1.855467781,0.770753864,2.626221645
Andre Iguodala,GSW,-0.036681707,1.206240107,1.1695584,-0.157834575,1.221957966,1.064123391
Ersan Ilyasova,MIL,1.365834729,5.662860169,7.028694898,3.925157641,4.835554547,8.760712188
Ersan Ilyasova,MIL,-0.891583014,2.751683179,1.860100165,-0.85124495,3.072638481,2.221393531
Joe Ingles,UTA,-1.177388447,1.474084187,0.29669574,-2.604138828,3.334381525,0.730242698
Joe Ingles,UTA,1.442704996,0.642210066,2.084915063,0.961063462,1.260570495,2.221633957
Andre Ingram,LAL,-10.88604375,-0.709672959,-11.59571671,-10.15511966,-0.883285248,-11.03840491
Brandon Ingram,LAL,-1.216508254,-0.702486121,-1.918994375,-1.905365835,-0.67189395,-2.577259785
Kyrie Irving,BOS,1.257947677,-1.5806994,-0.322751723,4.817593712,-2.856516913,1.961076799
Kyrie Irving,BOS,5.601825555,1.130465402,6.732290957,6.118081399,1.58623827,7.704319669
Jonathan Isaac,ORL,-1.673055999,-4.641395925,-6.314451924,-1.587150501,-2.984415351,-4.571565852
Jonathan Isaac,ORL,-1.302072203,2.217064963,0.914992759,-0.506879806,1.244945885,0.738066079
Wes Iwundu,ORL,0.65854531,-3.018484856,-2.359939546,0.398715945,-1.278660363,-0.879944418
Wes Iwundu,ORL,-2.775367569,0.152993747,-2.622373822,-3.617830546,-0.206022834,-3.82385338
Demetrius Jackson,PHI,2.016593436,-0.809502046,1.20709139,-0.835330534,-1.949267793,-2.784598327
Frank Jackson,NOP,-1.520112266,-2.852010997,-4.372123263,-1.852390267,-3.027728021,-4.880118288
Jaren Jackson Jr.,MEM,-1.51116573,1.239671122,-0.271494607,-2.253012496,2.027877816,-0.22513468
Josh Jackson,PHO,-3.191611243,0.679542015,-2.512069228,-3.497783814,-0.094366531,-3.592150345
Justin Jackson,SAC,-1.25218307,-1.320547857,-2.572730927,-1.299617542,-1.305154742,-2.604772284
Justin Jackson,DAL,0.304375611,-1.25652044,-0.952144829,-0.037785598,-1.490106313,-1.527891911
Reggie Jackson,DET,7.827273121,-5.301818413,2.525454709,11.43741574,-6.712014439,4.725401301
Reggie Jackson,DET,1.278474696,-2.573562344,-1.295087649,0.914129746,-1.705113677,-0.790983932
LeBron James,LAL,5.542003854,-0.181201825,5.360802029,4.408912545,-0.104033404,4.304879141
Amile Jefferson,ORL,0.512750375,-1.899863034,-1.38711266,0.658869605,-1.727683623,-1.068814017
John Jenkins,NYK,-2.2801191,-3.326019275,-5.606138376,-3.547208957,-5.076594778,-8.623803735
John Jenkins,WAS,6.434872488,-9.334292058,-2.89941957,2.03520145,-5.911261033,-3.876059583
Jonas Jerebko,GSW,0.530505349,-4.725793049,-4.1952877,-0.542594804,-6.567398121,-7.109992925
Jonas Jerebko,GSW,0.05176801,-1.166562676,-1.114794666,-0.303036166,-1.142742396,-1.445778562
Alize Johnson,IND,-2.813602123,-1.883383406,-4.696985529,-3.481699392,-3.080127102,-6.561826494
Amir Johnson,PHI,6.429456693,-3.997939308,2.431517385,2.082104005,-8.219843511,-6.137739506
Amir Johnson,PHI,-1.533314474,0.132545232,-1.400769241,-1.760716748,-0.07663455,-1.837351298
BJ Johnson,SAC,-10.83616966,1.691981195,-9.144188461,-11.19681508,-0.229133759,-11.42594883
BJ Johnson,ATL,-0.988791623,-5.483377732,-6.472169355,-1.608075457,-4.886873636,-6.494949093
James Johnson,MIA,-2.479965853,-0.679225849,-3.159191702,-2.541775553,-0.763554066,-3.305329619
Stanley Johnson,DET,-3.178012552,2.624862284,-0.553150268,-3.547206978,2.029275531,-1.517931447
Stanley Johnson,NOP,-4.457798049,-1.20527852,-5.663076569,-4.286911517,-1.866245398,-6.153156915
Tyler Johnson,PHO,-1.221453738,1.175045639,-0.046408099,-2.314009681,0.379575169,-1.934434512
Tyler Johnson,MIA,-0.898801081,-0.114323746,-1.013124827,-0.798813808,-0.343874595,-1.142688403
Wesley Johnson,NOP,-3.122005254,-1.182036872,-4.304042126,-3.836053161,-1.91945946,-5.75551262
Wesley Johnson,WAS,-5.167051416,0.375413524,-4.791637892,-4.689065202,-0.359138548,-5.048203751
Nikola Jokic,DEN,8.772971399,5.440109428,14.21308083,4.970388184,6.595480232,11.56586842
Nikola Jokic,DEN,5.792122151,2.256108151,8.048230301,6.056080407,2.421618257,8.477698664
Damian Jones,GSW,-10.66170309,-3.490063511,-14.15176661,-12.89488334,-5.148577212,-18.04346055
Damian Jones,GSW,-2.219642112,1.298067314,-0.921574798,-1.761368715,1.046461459,-0.714907257
Derrick Jones Jr.,MIA,-0.034216054,2.411700061,2.377484007,-0.995315432,1.986210576,0.990895144
Jalen Jones,CLE,-1.407355653,-3.698003284,-5.105358938,-1.316203678,-2.811724353,-4.127928031
Jemerrio Jones,LAL,-1.221218953,4.151778718,2.930559765,-0.96197437,4.845186386,3.883212016
Terrence Jones,HOU,-20.01590941,3.70595711,-16.30995231,-19.63456499,1.042664053,-18.59190093
Tyus Jones,MIN,0.474281707,-0.250300557,0.22398115,-0.084165955,0.156917978,0.072752023
DeAndre Jordan,DAL,-2.476487926,1.191608558,-1.284879368,-2.359254679,0.766807622,-1.592447058
DeAndre Jordan,NYK,-0.51585745,-1.258623551,-1.774481001,-1.87653097,-2.087659423,-3.964190393
Cory Joseph,IND,-0.608643743,-4.613106512,-5.221750255,-2.549743491,-1.179187652,-3.728931144
Cory Joseph,IND,-0.919174613,2.383445769,1.464271155,-1.290539294,2.741338154,1.450798861
Frank Kaminsky,CHA,-0.242405791,0.386934373,0.144528582,0.050035746,-1.042284457,-0.992248712
Enes Kanter,POR,-0.449600852,3.033273583,2.583672732,-0.716333043,3.124207447,2.407874404
Enes Kanter,NYK,0.550208225,-2.068384363,-1.518176138,-0.045359698,-2.082223947,-2.127583646
Enes Kanter,POR,2.525083636,-0.294309347,2.230774289,1.42599175,0.257649736,1.683641486
Luke Kennard,DET,-0.578382125,-5.350630296,-5.929012421,3.083852827,-5.64655009,-2.562697263
Luke Kennard,DET,0.156054421,-1.934743957,-1.778689537,-0.071727071,-2.346486498,-2.418213569
Michael Kidd-Gilchrist,CHA,-0.899672442,1.778478662,0.878806221,-1.453060689,1.167486475,-0.285574214
George King,PHO,-4.974701613,-14.40396078,-19.37866239,-6.848305911,-11.88471055,-18.73301646
Maxi Kleber,DAL,-1.355660246,2.379221576,1.02356133,-1.115890922,2.314933015,1.199042094
Brandon Knight,HOU,-7.051663365,-2.314163021,-9.365826386,-4.828918358,-2.069804231,-6.898722589
Brandon Knight,CLE,-1.641332907,-0.626609312,-2.267942219,-1.326235726,-1.093603383,-2.419839109
Kevin Knox,NYK,-3.717047337,-3.817923739,-7.534971077,-3.706787911,-4.100554661,-7.807342573
Furkan Korkmaz,PHI,0.710063987,-2.957634877,-2.24757089,2.806782114,-4.552504104,-1.74572199
Furkan Korkmaz,PHI,-0.276838324,1.536599825,1.259761501,-0.420290586,0.400462327,-0.019828258
Luke Kornet,NYK,-1.689296617,3.499728627,1.810432009,-1.240184155,2.244070844,1.003886689
Kyle Korver,UTA,-4.684937911,-0.99789016,-5.682828071,-7.252550454,-2.280289803,-9.532840258
Kyle Korver,UTA,-0.458596204,-0.61773183,-1.076328034,0.045690596,-0.597741383,-0.552050787
Kyle Korver,CLE,-0.038264721,-3.014879091,-3.053143812,-0.47474284,-3.572523281,-4.04726612
Kosta Koufos,SAC,-4.590548153,0.042503025,-4.548045129,-3.970365849,-0.771276741,-4.741642591
Rodions Kurucs,BRK,2.614341469,-0.311934004,2.302407466,0.743911705,-4.807436597,-4.063524892
Rodions Kurucs,BRK,-3.253466667,-0.638158686,-3.891625353,-2.775250882,-0.327843973,-3.103094854
Kyle Kuzma,LAL,-1.167372851,-0.783998163,-1.951371014,-0.847055808,-0.564818671,-1.411874479
Skal Labissiere,POR,-12.75071172,0.550907029,-12.19980469,-13.71008584,-2.753423867,-16.4635097
Skal Labissiere,POR,0.788582688,-5.017797798,-4.229215111,0.172182387,-5.873906025,-5.701723638
Skal Labissiere,SAC,-6.06342746,-2.550575769,-8.614003228,-4.531060394,-2.420577892,-6.951638286
Jeremy Lamb,CHA,1.789191341,0.956123879,2.74531522,1.333315396,1.103883684,2.437199079
Zach LaVine,CHI,1.346343184,-2.629796918,-1.283453733,0.486096867,-2.582025321,-2.095928454
Jake Layman,POR,-4.792559254,-6.201994199,-10.99455345,-7.713780378,-4.135036343,-11.84881672
Jake Layman,POR,-1.03041683,-0.065371344,-1.095788174,-1.148443614,-0.894380206,-2.042823821
TJ Leaf,IND,-0.072559754,23.17462384,23.10206408,-2.451995179,19.17420103,16.72220585
TJ Leaf,IND,-0.078902779,2.162981199,2.08407842,-1.183509146,-0.055222689,-1.238731835
Courtney Lee,DAL,-3.404628901,1.111573784,-2.293055117,-3.237910449,0.2096973,-3.028213149
Courtney Lee,NYK,-0.281233944,2.812580311,2.531346367,-0.855455399,1.178691285,0.323235886
Damion Lee,GSW,0.400873083,-0.705259426,-0.304386343,0.071087706,-1.091591478,-1.020503772
Walter Lemon Jr.,CHI,-1.213532214,-0.816259997,-2.029792212,-1.972628331,-0.194632791,-2.167261122
Alex Len,ATL,-1.753125793,0.555066373,-1.19805942,-1.451597037,-0.304091837,-1.755688873
Kawhi Leonard,TOR,7.117326025,1.470817505,8.58814353,8.518515427,2.269252196,10.78776762
Kawhi Leonard,TOR,5.068376311,1.303347486,6.371723797,5.078364501,1.254328428,6.332692929
Meyers Leonard,POR,2.053114057,-3.663731158,-1.610617101,1.333757459,-2.676424225,-1.342666766
Meyers Leonard,POR,-0.170337673,-4.175972974,-4.346310647,-0.401506172,-3.779239747,-4.180745919
Jon Leuer,DET,-1.997133979,-13.38121362,-15.3783476,0.934500291,-12.45387871,-11.51937842
Jon Leuer,DET,-3.679570499,-1.569048704,-5.248619202,-3.702812535,-0.715018043,-4.417830578
Caris LeVert,BRK,5.829179646,-0.661437179,5.167742467,3.188612952,-1.713664007,1.474948944
Caris LeVert,BRK,0.335252931,1.719309407,2.054562338,0.075562366,1.178926542,1.254488907
Damian Lillard,POR,4.284400936,-1.833316513,2.451084423,4.975563917,-1.823961893,3.151602025
Damian Lillard,POR,6.956588225,-1.135127348,5.821460877,6.937645583,-0.156818392,6.780827191
Jeremy Lin,TOR,-10.18182915,-4.029578188,-14.21140733,-9.548970333,-7.81811372,-17.36708405
Jeremy Lin,TOR,-4.014537584,0.019931044,-3.99460654,-4.600701562,0.339777364,-4.260924198
Jeremy Lin,ATL,0.915743662,1.120766258,2.03650992,0.243088566,0.157691687,0.400780253
Shaun Livingston,GSW,-0.990015943,-2.641364011,-3.631379954,-2.482311086,-2.412259862,-4.894570948
Shaun Livingston,GSW,-0.822273716,-0.623523133,-1.445796849,-0.803919199,-0.803758539,-1.607677738
Zach Lofton,DET,-20.66040603,14.19936102,-6.461045013,-8.381958217,8.192370057,-0.18958816
Kevon Looney,GSW,0.445365302,2.621765742,3.067131044,-0.037316392,2.564527428,2.527211036
Kevon Looney,GSW,-0.052276222,2.549978869,2.497702647,0.008721011,2.732276358,2.740997368
Brook Lopez,MIL,0.104888992,6.056051011,6.160940003,1.936523259,5.037570993,6.974094253
Brook Lopez,MIL,-1.374588952,1.139977427,-0.234611525,-0.376542849,1.561481038,1.184938188
Robin Lopez,CHI,-2.587289907,-0.161280353,-2.748570261,-2.83561069,-1.29825173,-4.13386242
Kevin Love,CLE,1.585362059,1.355374652,2.940736711,2.121478634,0.181299418,2.302778052
Kyle Lowry,TOR,3.499279735,2.259505812,5.758785547,5.400362305,4.161573971,9.561936276
Kyle Lowry,TOR,2.919912847,1.864095673,4.78400852,3.626170506,2.321196517,5.947367023
Jordan Loyd,TOR,5.751692276,-5.79960965,-0.047917374,-0.232077363,-6.426698086,-6.65877545
Kalin Lucas,DET,-2.713627341,2.112140168,-0.601487174,-8.652689055,2.685310945,-5.96737811
Timothe Luwawu-Cabarrot,CHI,-2.393010403,-2.172418444,-4.565428847,-3.224464619,-2.930245627,-6.154710246
Timothe Luwawu-Cabarrot,OKC,-7.38191201,-3.743436514,-11.12534852,-9.276184001,-3.346995995,-12.62318
Tyler Lydon,DEN,-1.394504712,-5.317578351,-6.712083063,-3.117073684,-5.380781911,-8.497855596
Trey Lyles,DEN,-5.80085531,-15.27993584,-21.08079115,-4.022193826,-16.55317233,-20.57536616
Trey Lyles,DEN,-3.294075874,-0.844474684,-4.138550558,-1.995499509,-1.319323714,-3.314823223
Scott Machado,LAL,15.33513875,6.905391479,22.24053023,11.22650799,3.283330663,14.50983866
Shelvin Mack,MEM,-1.675697036,-1.728109765,-3.403806801,-2.765924099,-1.078867842,-3.844791942
Shelvin Mack,CHA,-16.48793507,-0.194500898,-16.68243596,-12.53629294,-3.74212008,-16.27841302
Daryl Macon,DAL,-3.614062881,-5.179007576,-8.793070457,-4.228749392,-5.129121075,-9.357870467
J.P. Macura,CHA,-13.31683778,8.539960827,-4.776876952,-10.83594525,4.366235932,-6.469709316
Ian Mahinmi,WAS,-2.434340788,2.890595482,0.456254694,-2.642545068,2.996973018,0.35442795
Thon Maker,DET,-5.773254735,-2.830199527,-8.603454262,-1.149946472,-2.950314196,-4.100260669
Thon Maker,MIL,-0.942837632,-0.321484149,-1.264321781,-0.567556688,0.413898962,-0.153657726
Thon Maker,DET,-3.585845279,0.796701254,-2.789144025,-3.303882903,-0.143873745,-3.447756648
Boban Marjanovic,PHI,0.446128014,1.803051721,2.249179734,-0.083825948,-2.438242624,-2.522068572
Boban Marjanovic,LAC,1.221202395,3.588153968,4.809356363,-0.191482357,2.319575582,2.128093225
Boban Marjanovic,PHI,2.010520975,0.893255733,2.903776707,1.062652189,0.093237909,1.155890098
Lauri Markkanen,CHI,0.611445813,-0.78103161,-0.169585797,0.767807949,-0.901768066,-0.133960117
Jarell Martin,ORL,-0.45553003,-5.729048301,-6.184578331,1.459454407,-2.991865041,-1.532410634
Jarell Martin,ORL,-3.134732448,-2.387223132,-5.52195558,-2.99036502,-2.849031025,-5.839396045
Frank Mason,SAC,-1.163483376,-3.27531169,-4.438795066,-1.778299231,-3.955159747,-5.733458979
Yante Maten,MIA,1.663708982,15.51495684,17.17866582,2.426512684,11.71168685,14.13819953
Wesley Matthews,IND,-3.087891819,-0.580294401,-3.66818622,-2.390700565,0.702685411,-1.688015154
Wesley Matthews,IND,-0.909614781,1.232951266,0.323336485,-0.686657124,0.797274667,0.110617543
Wesley Matthews,NYK,-6.959761207,3.507041591,-3.452719616,-4.731981981,1.290341928,-3.441640054
Wesley Matthews,DAL,-0.032890079,-0.980321638,-1.013211716,-0.005912789,-0.540760251,-0.54667304
Luc Mbah a Moute,LAC,-1.746849088,1.173957653,-0.572891434,-2.190478021,-0.179828746,-2.370306768
Tahjere McCall,BRK,-7.310721148,24.48573152,17.17501037,-5.400625794,20.12253971,14.72191392
Patrick McCaw,TOR,-1.605803055,-6.436529146,-8.042332202,-3.721627972,-5.02301175,-8.744639723
Patrick McCaw,TOR,-1.472074368,-0.997282965,-2.469357334,-2.158806327,-0.379288788,-2.538095115
Patrick McCaw,CLE,-7.783132031,-4.490718701,-12.27385073,-4.937101053,-5.159877701,-10.09697875
CJ McCollum,POR,4.077124748,0.122403117,4.199527865,3.602692831,-0.181885559,3.420807272
CJ McCollum,POR,2.880784729,0.111691814,2.992476542,2.968282884,0.202580451,3.170863335
T.J. McConnell,PHI,-2.930275346,-6.693929485,-9.62420483,-2.114580282,-8.642234972,-10.75681525
T.J. McConnell,PHI,-0.944978782,0.123467378,-0.821511404,-1.25715937,-0.096051666,-1.353211036
